reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
96,215,46,63,63,0,l,0.5526679989998229,None,0,63,63,88,132.00966341601452,,132.0016164999688,132.00966341601452,132.99556562496582,132.99556562496582,133.00488041597418,133.55610783299198,l,0.5526679989998229,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
30,52,25,64,64,0,t,0.5631689159781672,None,0,64,64,12,133.57105554098962,,133.5626432080171,133.57105554098962,134.55499937501736,134.55499937501736,134.56116762501188,135.1236125829746,t,0.5631689159781672,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
15,35,13,65,65,0,t,0.7543812920339406,None,0,65,65,1,135.1397937500151,,135.13119995797751,135.1397937500151,136.1217452500132,136.1217452500132,136.13810458296211,136.87916754098842,t,0.7543812920339406,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
68,145,32,66,66,0,t,1.1761931250221096,None,0,66,66,74,136.89389733300777,,136.88617137499386,136.89389733300777,137.8788015000173,137.8788015000173,137.8882411249797,139.0570597499609,t,1.1761931250221096,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
60,125,28,67,67,0,l,0.942932625010144,None,0,67,67,70,139.07239595800638,,139.06371787498938,139.07239595800638,140.0550739999744,140.0550739999744,140.06164666597033,141.0069566660095,l,0.942932625010144,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
84,120,145,68,68,0,t,0.9633979579666629,None,0,68,68,36,141.0222882910166,,141.01377020799555,141.0222882910166,142.00469045800855,142.00469045800855,142.0095666659763,142.97342554101488,t,0.9633979579666629,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
38,76,17,69,69,0,t,5.478052124031819,None,0,69,69,59,142.98898933298187,,142.98044441599632,142.98898933298187,143.97169412497897,143.97169412497897,143.9778781660134,149.45600841596024,t,5.478052124031819,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
27,50,21,70,70,0,t,0.8043205409776419,None,0,70,70,2,149.47150529100327,,149.46262333297636,149.47150529100327,150.45409504097188,150.45409504097188,150.4584881250048,151.26202416600427,t,0.8043205409776419,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
14,28,5,71,71,0,t,1.0664889159961604,None,0,71,71,47,151.2764194579795,,151.2682959579979,151.2764194579795,152.26178462500684,152.26178462500684,152.27137929096352,153.34026429097867,t,1.0664889159961604,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
68,92,105,72,72,0,l,0.6342677079956047,None,0,72,72,28,153.35621612501564,,153.34802525001578,153.35621612501564,154.33822795801098,154.33822795801098,154.35464441601653,154.97867637500167,l,0.6342677079956047,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
