stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
48,1,1.0,54.18646045899368,,54.174524791989825,54.18646045899368,54.66978945900337,54.66978945900337,54.673530041996855,54.957095374993514,55.38814949999505,right,1.0,1,1,0.7140932910115225,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
49,1,1.0,55.39638500000001,,55.38851487499778,55.39638500000001,55.88633574999403,55.88633574999403,55.890470792001,56.17360279199784,56.557331249990966,right,1.0,1,1,0.6695382920006523,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
50,1,1.0,56.56983179200324,,56.557579499989515,56.56983179200324,57.05302249999659,57.05302249999659,57.05695149999519,57.33950391699909,57.58812379199662,right,1.0,1,1,0.5197950000001583,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
51,1,1.0,57.59595441700367,,57.58849691700016,57.59595441700367,58.08634629199514,58.08634629199514,58.090439541992964,58.37321287499799,58.65723137499299,left,-1.0,1,1,0.5694419580104295,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
52,1,1.0,58.66975104199082,,58.657491874997504,58.66975104199082,59.15304716699757,59.15304716699757,59.15631779200339,59.43951962499705,59.75515420899319,right,1.0,1,1,0.5896969589957735,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
53,1,1.0,59.76316070900066,,59.75563358399086,59.76316070900066,60.25309208399267,60.25309208399267,60.25711241699173,60.53996720899886,60.807230999998865,right,1.0,1,1,0.5526521659921855,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
54,1,1.0,60.8197302089975,,60.80748399998993,60.8197302089975,61.30332591698971,61.30332591698971,61.307408416992985,61.589789833989926,62.03844449999451,left,-1.0,1,1,0.7234457919985289,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
55,1,1.0,62.047379041992826,,62.03891366699827,62.047379041992826,62.536420709002414,62.536420709002414,62.54083154199179,62.822618749996764,63.12142804199539,right,1.0,1,1,0.5763636250048876,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
56,1,1.0,63.129881083994405,,63.121803499991074,63.129881083994405,63.61981779200141,63.61981779200141,63.62480750000395,63.90629991699825,64.14154083399626,right,1.0,1,1,0.5178578330087475,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
57,1,1.0,64.15316045899817,,64.14180791699619,64.15316045899817,64.64220854199084,64.64220854199084,64.64220854199084,64.93953516699548,65.23873495899898,right,1.0,1,1,0.5824512089893688,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
58,1,1.0,65.24792366698966,,65.2393227089924,65.24792366698966,65.7363257919933,65.7363257919933,65.74018720899767,66.02357433400175,66.3385877499968,left,-1.0,1,1,0.5903594590054126,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
59,1,1.0,66.34720829199068,,66.33905287500238,66.34720829199068,66.8363045839942,66.8363045839942,66.84042820899049,67.12330162498984,67.4215527089982,right,1.0,1,1,0.5773020420019748,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
60,1,1.0,67.42948074999731,,67.42191383399768,67.42948074999731,67.91972712500137,67.91972712500137,67.92397487499693,68.20698358399386,68.50518329199986,right,1.0,1,1,0.5818412920052651,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
61,1,1.0,68.51379770899075,,68.50563804199919,68.51379770899075,69.00288587500108,69.00288587500108,69.00664799999504,69.28947633400094,69.50481704199046,right,1.0,1,1,0.49359437500243075,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
62,1,1.0,69.51299554199795,,69.50517858398962,69.51299554199795,70.00315395899815,70.00315395899815,70.00707679199695,70.29044395899109,70.48796975000005,right,1.0,1,1,0.48129362499457784,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
63,1,1.0,70.49651229199662,,70.48834633399383,70.49651229199662,70.98624333400221,70.98624333400221,70.99001470899384,71.2734099169902,71.50518720899709,right,1.0,1,1,0.504171167005552,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
64,1,1.0,71.51342874999682,,71.50561533399741,71.51342874999682,72.00291604199447,72.00291604199447,72.00723849999486,72.28959025000222,72.43846799999301,right,1.0,1,1,0.4265447090001544,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
65,1,1.0,72.44644208399404,,72.43893224999192,72.44644208399404,72.93615541700274,72.93615541700274,72.93941633400391,73.22316966699145,73.47104079199198,left,-1.0,1,1,0.5292703329905635,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
